Marker	Offset
mh04USC-4qC	75
mh04USC-4qC	117
mh04USC-4qC	122
mh04USC-4qC	125
mh04USC-4qD	75
mh04USC-4qD	103
mh04USC-4qD	111
mh04USC-4qD	125
mh05USC-5pA	68
mh05USC-5pA	108
mh05USC-5pA	112
mh05USC-5pA	132
mh05USC-5pB	92
mh05USC-5pB	108
mh05USC-5qA	53
mh05USC-5qA	71
mh05USC-5qA	141
mh05USC-5qA	146
mh05USC-5qB	79
mh05USC-5qB	92
mh05USC-5qB	107
mh05USC-5qB	120
mh05USC-5qC	75
mh05USC-5qC	97
mh05USC-5qC	124
mh05USC-5qD	77
mh05USC-5qD	87
mh05USC-5qD	123
mh06USC-6pA	79
mh06USC-6pA	100
mh06USC-6pA	120
mh06USC-6pB	94
mh06USC-6pB	97
mh06USC-6pB	105
mh06USC-6qA	92
mh06USC-6qA	106
mh06USC-6qA	108
mh06USC-6qB	83
mh06USC-6qB	99
mh06USC-6qB	100
mh06USC-6qB	116
mh06USC-6qC	76
mh06USC-6qC	110
mh06USC-6qC	123
mh06USC-6qD	52
mh06USC-6qD	127
mh06USC-6qD	136
mh06USC-6qD	147
mh07USC-7pA	78
mh07USC-7pA	95
mh07USC-7pA	114
mh07USC-7pA	121
mh07USC-7pB	74
mh07USC-7pB	76
mh07USC-7pB	99
mh07USC-7pB	125
mh07USC-7pC	75
mh07USC-7pC	86
mh07USC-7pC	94
mh07USC-7pC	99
mh07USC-7pC	125
mh07USC-7qA	73
mh07USC-7qA	116
mh07USC-7qA	126
mh07USC-7qB	80
mh07USC-7qB	84
mh07USC-7qB	120
mh07USC-7qC	66
mh07USC-7qC	95
mh07USC-7qC	122
mh07USC-7qC	123
mh07USC-7qC	134
mh08USC-8pA	86
mh08USC-8pA	92
mh08USC-8pA	104
mh08USC-8pA	114
mh08USC-8pB	75
mh08USC-8pB	98
mh08USC-8pB	108
mh08USC-8pB	110
mh08USC-8pB	124
mh08USC-8qA	66
mh08USC-8qA	96
mh08USC-8qA	134
mh08USC-8qB	81
mh08USC-8qB	89
mh08USC-8qB	119
mh08USC-8qC	59
mh08USC-8qC	101
mh08USC-8qC	120
mh08USC-8qC	141
mh09USC-9pA	64
mh09USC-9pA	94
mh09USC-9pA	117
mh09USC-9pA	127
mh09USC-9pA	135
mh09USC-9pB	66
mh09USC-9pB	104
mh09USC-9pB	121
mh09USC-9pB	134
mh09USC-9qA	70
mh09USC-9qA	97
mh09USC-9qA	129
mh09USC-9qB	82
mh09USC-9qB	83
mh09USC-9qB	92
mh09USC-9qB	118
mh09USC-9qC	61
mh09USC-9qC	76
mh09USC-9qC	88
mh09USC-9qC	119
mh09USC-9qC	138
mh10USC-10pA	87
mh10USC-10pA	110
mh10USC-10pA	113
mh10USC-10pB	74
mh10USC-10pB	112
mh10USC-10pB	126
mh10USC-10qA	86
mh10USC-10qA	101
mh10USC-10qA	113
mh10USC-10qB	92
mh10USC-10qB	103
mh10USC-10qB	108
mh10USC-10qC	55
mh10USC-10qC	108
mh10USC-10qC	145
mh11USC-11pA	63
mh11USC-11pA	116
mh11USC-11pA	136
mh11USC-11pB	90
mh11USC-11pB	92
mh11USC-11pB	109
mh11USC-11pB	110
mh11USC-11qA	98
mh11USC-11qA	101
mh11USC-11qB	60
mh11USC-11qB	72
mh11USC-11qB	85
mh11USC-11qB	140
mh11USC-11qC	82
mh11USC-11qC	96
mh11USC-11qC	118
mh12USC-12pA	57
mh12USC-12pA	78
mh12USC-12pA	102
mh12USC-12pA	143
mh12USC-12pB	87
mh12USC-12pB	104
mh12USC-12pB	112
mh12USC-12qA	83
mh12USC-12qA	96
mh12USC-12qA	116
mh12USC-12qB	61
mh12USC-12qB	81
mh12USC-12qB	109
mh12USC-12qB	138
mh12USC-12qC	65
mh12USC-12qC	77
mh12USC-12qC	131
mh12USC-12qC	135
mh13USC-13qA	65
mh13USC-13qA	112
mh13USC-13qA	113
mh13USC-13qA	134
mh13USC-13qB	70
mh13USC-13qB	76
mh13USC-13qB	96
mh13USC-13qB	130
mh13USC-13qC	91
mh13USC-13qC	97
mh13USC-13qC	102
mh13USC-13qC	109
mh13USC-13qD	66
mh13USC-13qD	78
mh13USC-13qD	84
mh13USC-13qD	133
mh14USC-14qA	87
mh14USC-14qA	106
mh14USC-14qA	113
mh14USC-14qB	61
mh14USC-14qB	122
mh14USC-14qB	138
mh14USC-14qC	73
mh14USC-14qC	83
mh14USC-14qC	127
mh14USC-14qD	93
mh14USC-14qD	96
mh14USC-14qD	106
mh15USC-15qA	58
mh15USC-15qA	59
mh15USC-15qA	93
mh15USC-15qA	141
mh15USC-15qB	71
mh15USC-15qB	123
mh15USC-15qB	129
mh15USC-15qC	61
mh15USC-15qC	131
mh15USC-15qC	138
mh15USC-15qD	75
mh15USC-15qD	81
mh15USC-15qD	116
mh15USC-15qD	125
mh16USC-16pA	80
mh16USC-16pA	89
mh16USC-16pA	94
mh16USC-16pA	120
mh16USC-16pB	95
mh16USC-16pB	105
mh16USC-16qA	92
mh16USC-16qA	99
mh16USC-16qA	108
mh16USC-16qB	56
mh16USC-16qB	131
mh16USC-16qB	144
mh17USC-17pA	65
mh17USC-17pA	99
mh17USC-17pA	134
mh17USC-17qA	56
mh17USC-17qA	60
mh17USC-17qA	94
mh17USC-17qA	143
mh17USC-17qB	76
mh17USC-17qB	87
mh17USC-17qB	123
mh17USC-17qC	58
mh17USC-17qC	80
mh17USC-17qC	113
mh17USC-17qC	141
mh18USC-18pA	62
mh18USC-18pA	65
mh18USC-18pA	115
mh18USC-18pA	116
mh18USC-18pA	138
mh18USC-18qA	91
mh18USC-18qA	94
mh18USC-18qA	108
mh18USC-18qB	79
mh18USC-18qB	109
mh18USC-18qB	121
mh18USC-18qC	80
mh18USC-18qC	98
mh18USC-18qC	114
mh18USC-18qC	119
mh19USC-19pA	81
mh19USC-19pA	98
mh19USC-19pA	118
mh19USC-19pB	67
mh19USC-19pB	97
mh19USC-19pB	102
mh19USC-19pB	124
mh19USC-19pB	132
mh19USC-19qA	77
mh19USC-19qA	91
mh19USC-19qA	117
mh19USC-19qA	122
mh19USC-19qB	87
mh19USC-19qB	89
mh19USC-19qB	113
mh20USC-20pA	63
mh20USC-20pA	71
mh20USC-20pA	74
mh20USC-20pA	137
mh20USC-20pB	71
mh20USC-20pB	77
mh20USC-20pB	129
mh20USC-20qA	89
mh20USC-20qA	97
mh20USC-20qA	110
mh20USC-20qB	77
mh20USC-20qB	88
mh20USC-20qB	97
mh20USC-20qB	122
mh21USC-21qA	65
mh21USC-21qA	82
mh21USC-21qA	111
mh21USC-21qA	134
mh21USC-21qB	87
mh21USC-21qB	92
mh21USC-21qB	113
mh22USC-22qA	68
mh22USC-22qA	75
mh22USC-22qA	101
mh22USC-22qA	131
mh22USC-22qB	74
mh22USC-22qB	85
mh22USC-22qB	92
mh22USC-22qB	114
mh22USC-22qB	126
mh0XUSC-XpA	80
mh0XUSC-XpA	109
mh0XUSC-XpA	119
mh0XUSC-XpB	76
mh0XUSC-XpB	101
mh0XUSC-XpB	123
mh0XUSC-XpC	76
mh0XUSC-XpC	78
mh0XUSC-XpC	102
mh0XUSC-XpC	123
mh0XUSC-XqA	59
mh0XUSC-XqA	140
mh0XUSC-XqB	96
mh0XUSC-XqB	98
mh0XUSC-XqB	104
mh0XUSC-XqC	64
mh0XUSC-XqC	66
mh0XUSC-XqC	136
mh0XUSC-XqE	97
mh0XUSC-XqE	102
mh0XUSC-XqF	62
mh0XUSC-XqF	137
mh0XUSC-XqG	85
mh0XUSC-XqG	96
mh0XUSC-XqG	115
mh0XUSC-XqH	89
mh0XUSC-XqH	100
mh0XUSC-XqH	110
