ID	MaternalID	PaternalID	Seed
0NESmet	Zk19B7z	Vqd2fCU	89797782
dXiJ1ZJ	ZuqQNbx	dYXNuYJ	3458225472
EUBrjFu	Y4fAKr1	WYPtEcg	2596344555
rZ7hMPn	3vfmrdW	nIocEg5	2569868612
yNtwre3	ZHFvYd2	ODuvibJ	372120208
hCfrGUx	JsmbtEL	Ta4sDri	605431698
i0v3mYQ	ZXr4soV	0RggmhM	3545711925
9EEkEMJ	4bHt3bX	IMtb0nL	3101633269
OQqDiEw	NyURr3i	dpGVPQp	2544538310
apIz63H	mX7BgOB	RD2zYin	387719231
