ID	MaternalHaploPop	PaternalHaploPop	Background
SrcfvAI	MXL	MXL	CGuqZap,O230iPU,uJ5qAAu
LReJo7e	CEU	CEU	fs5VTTz,JC0Rvyq,iJJ9NxK
86v58st	CEU	CEU	wgUFRkZ,jBgNIFn,u2fvN2D
iR3x3ty	GIH	CEU	J3l5exm,qlghej9,XNMoGQX
bp9pNdq	CEU	CEU	IVgNwZK,Iu1TTk6,gdDJ0mH
K826vC1	CEU	CEU	vJduL2o,SYqR3PN,SsDDndI
Efnze0H	ESN	ESN	tIpSReS,hiA70sr,JvPT54I
qnkx8Kx	CEU	CEU	BIoeLEx,x6Em1Q0,8sN21MM
0cyLaQY	CEU	CEU	sJv9z8O,XAcerqT,XkbKrWj
EZiNktZ	CEU	CEU	PcP8f0Z,lLufhFa,4kEXCST
1MpOM4B	CEU	CEU	JFDRQtr,nq5jaGZ,TawI3v5
XB7wMEb	CEU	CEU	GmuCc9n,b174AgL,x9hzoiK
ikgytI5	CEU	CEU	GigkJLT,ld4xP8L,GQag5EY
AJ8QpPB	CEU	CEU	2ySbAl6,G98vpXf,j86mRoM
PmwMwb7	ASW	ASW	YTiNZPV,6AkY1el,7bMVWna
T2Vpjdc	CEU	CEU	e55sab5,wdehrZ1,Uco9yKX
v86R9ai	CEU	CHB	BS26LTX,fzUs16U,3eTZHbp
LQq8XhJ	MXL	MXL	UCUNhxN,InY2Xeh,H6qNQAj
ZQ0CCLm	ASW	ASW	FE5QBxP,WM13OxN,u0DzNDA
cqyquWd	CEU	CEU	sEwoml4,6X19VB3,5SkRwZB
DW2yZmJ	CEU	CEU	JZwPnON,Amw8ofy,BIt77Dy
IRrspNa	CEU	MXL	4UBKFIV,3HwUBZm,vi4Bxld
Rkttpw8	CEU	CEU	hPBXDHH,bmQyuoz,PKLyrqA
Ki4Cyh3	CEU	CEU	Yx5qkud,Pw3ubqq,0G4L2BQ
USzcR1G	CEU	CEU	kgv5bBW,z90UvNE,qJHiizs
DkiNo1l	ASW	ASW	NpEgEMG,cB18WKr,SPYBTIW
RJ0Lbxp	MXL	MXL	crErHjB,bm2Fdkc,dH6Oujy
inDXZav	ASW	ASW	Kswx8OX,VvZi7zP,LbnqLUL
rMwmX4z	CEU	CEU	9dXuku3,GoFhS5H,SOVUQ2m
ypCtWg6	ASW	CEU	vLj6Ur0,y7wumj6,5AMoAtD
7febbiq	PUR	PUR	4K6OSBE,FTmDuL2,oZMUaYR
rX8oTnl	CEU	CEU	xvjkguU,hkBFitb,t8VKbZX
H8uQxtE	CEU	CEU	UPehTyJ,eFUpYdG,zK29ZJa
HWhXPmk	ASW	ASW	SZzOSMw,jfTX02j,QIE1v2y
tw8xDGO	CEU	CEU	w0qZC6f,fSDm7Yt,jIUQehZ
X7OSjY1	MXL	MXL	oolLDCO,WJB3tCI,8fCdXeE
eX0Gf4W	CEU	CEU	Pcl3NxG,RVIAzu8,XwBh0rV
RfbsPCO	CEU	CEU	Y4JJNZm,OxjHgMb,zy7TMqr
SoOdLzH	CEU	GBR	X0puQES,b7iU5lI,9pUvpVR
lT0RUoq	CEU	CEU	CKj4YaF,jGwJD1D,BT5oQ4X
FIGG76n	CEU	CEU	CqExzIQ,MJrtdkk,My6P5RT
C34dBxR	CEU	CEU	4B94K0d,oCXUTw5,IUB2f77
a6XdMbr	CEU	CEU	9EYPFRQ,zgTIcHq,LQeVJrZ
Uy3mwqR	CEU	CEU	krbOVf5,6pu1X6Y,TAFHXXT
tgvpbaL	CEU	CEU	YInfK9c,a76pAAn,4CCNQqg
3FWWJDs	CEU	CEU	yFK9SH8,EKdhoOJ,Swl718h
qB9sMZl	CEU	CEU	ZnARNma,GIlI5VK,Obk9l6d
XCr3kR3	CEU	CEU	4Ux5Sqg,8ZAqj4a,SVFnQBL
HpCgpVe	CEU	ASW	pPI6atf,28Y56dT,MYKadZG
XPy6mVr	CHB	CHB	PQ0SwPz,zzWNKnl,kxJ20oJ
z2Cb7hX	CEU	CEU	8bhwnvD,IMblX4X,rqYM5hX
w9P0T8G	CEU	CEU	G5il0OS,MRar3sX,gKeoPug
7lIq0iO	ASW	CEU	tyvWSp0,t6reOXd,OUUA99S
F3Vr1mb	CEU	CEU	mYV88QV,L9SnLeG,QW95Shl
we2DiEL	CEU	CEU	a7Ns7G3,3V3Ssq4,RedUhI1
SZTQLlV	GBR	GBR	5Y96Z3A,TLahjqY,BIuIzrg
VySHsCT	ASW	ASW	obuzmH4,cL5pDDM,Pfw2eUd
SqF7WqT	CEU	CEU	eDaDRch,XsaGCHy,m1WM5Ds
OYF4x77	CEU	ASW	CZZJCUr,S18ODY8,24e8M5a
GIHX0p7	ASW	ASW	rTf82hK,xupkRaC,TZ3OjIx
LrYRQUM	CEU	CEU	3eZMvVa,kRf8VYz,JiMuEXi
b4pKRwg	CEU	CEU	mwgSya2,axGnJCd,gP9o5YC
jJBvvIv	CEU	CEU	U5SsBUo,nbabBRr,sxi8Bln
9Pdc5Eu	CEU	CEU	x1XRzkK,xnoEhAv,RGyNkpJ
kH2AuNk	ASW	ASW	ETD8hJJ,N0MDz3z,GRTEB04
oDrYCtl	ASW	ASW	BupBAVV,4Qja4Qu,ihmmgDB
INrK3iL	CEU	CEU	T2Vpjdc,abqevKw,7bEGLvu
YZWzDVK	MXL	MXL	0VENNfp,jEUy9Wx,sw9c5b2
5oWSPMq	CEU	CEU	BOrVfNT,IGN0Dur,Mj6yS3y
WCKB4Rp	ASW	ASW	uMT0vG4,Y5EPHPA,cjogvRL
ZW6Z88i	ASW	ASW	WaZK62g,qeSOHAs,E9DbVrH
vGaW8zV	CEU	CEU	OzYRQU2,Jwi4F2K,RYPYy3f
4pdzcEr	ASW	ASW	VGllItz,8fqV7gP,7GFUnhA
DhLqK7e	CEU	CEU	rvhSgtJ,KTYjjIM,sQv2ZYy
1TK2Qn0	CEU	CEU	I2jpaqw,5AEe8CI,96qfHmL
G8vkVP8	CHB	CHB	v4qcput,u3ZgMHC,VdoI4kF
tLjX7V3	CEU	CEU	byClULm,VRSO7pg,uQKPuG9
DYz8d9k	CEU	CEU	cZZJTWG,JQzbTmW,GNIxfvm
v0gSvy9	CEU	CEU	dTfOEp6,4TuVWWW,4o0jz3h
1qwIJ9o	CEU	CEU	ChFb3lv,3aOslKu,nX5lhtO
JfuYvFX	CEU	CEU	qAYmMYI,U5YsiDH,7xx58s5
hABZSUO	CEU	CEU	36Ld7gJ,0lYKw8v,3g0tOuZ
zY40d3C	MXL	MXL	smwgDEO,GSZ4B0m,nKd8Jex
WYwIYA6	CHB	CHB	UoNZLx1,8ZtsipJ,MPKBAQB
yMnwgco	CEU	CEU	bCKkc5O,BTttDJX,YP2JAMt
l6BkSnC	CEU	CEU	zfyBMWt,axk6qzq,Lj9uxBq
Ps79vXd	CEU	ACB	SLW1UVL,FUsIclO,vlmGHfL
MX8Ysux	CEU	CEU	ZfqFInN,dMWDUAf,kF5wDgE
L4hoHgR	CEU	CEU	LrepKx3,YD6oSO0,PapUpA0
KWZjZPx	CEU	CEU	JJQA2GI,WfxjSrh,udHFWZF
agJmI5j	CEU	CEU	XHOxWhS,nUXYRs9,cOSsI39
f8lXPV0	PUR	PUR	LPhqs0L,3nxC71B,oLaMAWm
5N0sjff	CEU	CEU	Y6L7Yp5,1a0TJfM,U4CjqrF
aTIppOg	CEU	CEU	6aHemQ6,CSQG4aS,oYKit6G
5lQkWFA	ASW	ASW	SoIvrsq,xiGgY3o,QCxyoV2
PQvvsMM	CEU	CEU	zhG0zVj,xWhQVtz,1zK0i5s
CVu2XdA	CEU	CHS	bFsccJG,SqqOru5,jmpYpkY
z5mQNMT	CEU	CEU	qPW7iuv,UmlcTXi,6N7gJQz
JSZMDPK	ASW	ASW	bX8FHmZ,klvMXer,v1xAo6c
8X7ISIg	CEU	GIH	kFLTlhl,3hj5Hml,NTIysnN
uVtlUfs	ASW	ASW	3niVyjx,TkAHUwM,ltje9qI
BpHxRBN	PUR	PUR	cZA7FGr,l0cYvmM,HZ2vjNP
R7TmwqF	ASW	ASW	Ms7X3wI,mqRKM3S,pNXFhAw
jZfuSMN	CEU	CEU	Q5FJiFR,nGCAMxA,m0B2GXO
aDEB024	CEU	ASW	ekYXBkB,mWeVJTl,XpJ2uh9
fykoERc	CEU	CEU	swoyAZL,QvqATkq,j4n1XeZ
j0sFHVK	CEU	CEU	BlAClmI,JQzbTmW,4bDQMes
YIHEwRR	GBR	GBR	9y2I5Zy,1XDlyJQ,5weZvbF
kizrani	CEU	CEU	wdyfOAW,nkueYFL,zU80Vvt
5cOi0Y7	MXL	CEU	WU5oSI7,9Z3aFwq,fZLmNHN
OzYRQU2	CEU	CEU	fHsAOiI,pQkXora,kb3r55z
xZuQccb	CEU	CEU	HzeBHne,Gqi237x,z6kMFIp
z4XQN4f	CEU	CEU	Csl5ncg,oXFvQz4,yWlPzpy
grFKRvN	CEU	CEU	L6GPHaD,LImAJAL,8s2UazL
QNccY3d	CEU	CEU	sZKvy4E,G5il0OS,ykMT1tU
2PwjnZx	CEU	CEU	xKURU8A,tVvCKwA,8fJuCpR
BjZIYAG	CEU	CEU	aqmk1UK,NWJMf1S,HK3qDic
Zt2Gngq	CEU	ACB	WB1cevl,vdq0S9j,Ps79vXd
ygkYILQ	CEU	CEU	TAHYW4P,YQ3zZsr,tKIi6wG
abqevKw	CEU	CEU	qJV6Hir,fZDWVp6,uTNrYaY
urQbGRt	CEU	CEU	PiH4neu,TGDYDwW,SMSXrpV
MDHkPLK	JPT	JPT	9mmR3HM,gg7RyoV,WNnvV7s
tzc0CbH	CEU	CEU	JiA4580,MXZ5A6m,IP4IAr6
3DnTAmY	CEU	CEU	P0rflfS,y0NoUAK,87a3GdU
fQBP4vt	ASW	ASW	i0iWNav,VMtcB4b,ZzTxrqs
hS7MOEy	CEU	CEU	tgYiBvE,LWCqIcr,C7U89An
6ER5Shq	ASW	ASW	tRyFQKc,K76Epz4,bX8FHmZ
e5OKOEa	CEU	CEU	IRl4Hu9,1CIdGwb,z36pPg7
vHiyGey	MXL	MXL	BfBwT2P,CzF1Ead,2KBLxVw
n3FmbU8	ASW	ASW	Nme1xRV,SSXYaJc,FZE3AID
nCOpF7S	MXL	MXL	TPhiLX2,F0PLGxe,CMdWGpo
Sco1OhY	CEU	ASW	gtQXebW,kRZhn5x,oVZ2eT6
fQ6cWmt	CEU	CEU	B6T5mjI,NFyfFUl,BcUpaIs
ZaDE4Bg	CEU	CEU	XpIfhf9,zcfQHVk,f3HreAG
iQzuXXU	ASW	ASW	RETaqRv,X3FkpI7,Ohea1ub
nP1lYo8	GIH	GIH	MDDNWCR,13WZ3XZ,euIMfhT
R28enep	ASW	ASW	ODvThgF,2rbjWsB,yUjYuHR
dy2SMiT	CEU	CEU	ujEEiu1,zQYBBZU,NAWVvul
TIh0EKP	CEU	CEU	R2aRW79,m4N0SAg,oAE9jsf
rZQEBWU	PUR	GBR	aHV9RRh,TvCWuzS
pmaUo3d	ASW	ASW	Zqe3WjK,8sVmYAO,cViLakm
iA3mtWl	ASW	ASW	jdowmJk,x0L88NB,cD3n1NX
WPa4Rsu	ASW	ASW	4RpzTl0,NLg755Q,k35Exju
FZE3AID	ASW	ASW	cWwf5CY,4z0YSRR,OYl6em0
vVPiLyH	CEU	CEU	97o0hdh,FQdHPSV,hfrmSFu
IBrQP4c	CEU	CEU	nFjnqFe,LaJbKV7,rchNP73
OmRVaYG	ASW	ASW	RHxxJgW,CZpEHhi,y8oPI1f
qY79jYb	GBR	GBR	p63ekXz,OGD7e6l,88gG3re
2BEWtlx	JPT	JPT	leZuBfy,9mmR3HM,3MNviaa
QePejWg	CEU	CEU	L7wzhqP,nrlPc39,SmViwr7
ofJwXJA	CEU	CEU	W6boB1Y,kKqyjgI,qdDqK22
Bvm8w3z	CEU	CEU	w0VRoAZ,jCqqTAH,fwx0v3k
no0syQN	CEU	CEU	c5RpfxG,k5A5yWB,TNtykGz
BhjWoij	CEU	CEU	ImLBp9l,A8RbW66,UWGDSr5
FmQo4Af	CEU	CEU	ekoUvTh,PNBoy11,HNlpUdL
TAgTHUC	CEU	CEU	ovyVblh,kgv5bBW,8G96etW
lyAyOVb	CEU	CEU	4JjPVMP,vrSWE9E,YfFkd5p
H1jouRv	CEU	CEU	7CTNNjA,ZvAzLPM,2SgZMHx
jwfzbds	ASW	CEU	saUnV1k,kwcOxQO,uTwSCrl
N4M3BWd	ASW	ASW	2fhHKFc,Nj7MGtv,RDuA0Nh
sVCpj0M	CEU	CEU	wRvMgpI,dWwDD9r,wo5zth2
r6GgzN6	MXL	MXL	rlBLvqK,L7R28II,hZnRozo
IRNex5x	CEU	CEU	frp9Itg,mPzU6ry,mNqmtNe
GZF3TeZ	CEU	CEU	tUttaed,HnJ1t9l,wPguoq1
4ASgDQB	MXL	MXL	XWYftkM,6LK2vIQ,UkPbFfh
9mmmEZy	CEU	CEU	Cj1C6dr,TcpY3xz,XPHKkKZ
OmfACRP	CEU	CEU	6yenPYX,mijwhoV,vTIw5Fl
d3g7oLs	CEU	CEU	WTV27of,62DNXUI,SWy0HyP
GSZ4B0m	MXL	MXL	WYyO8So,Vqd2fCU,fJuG5hU
r58lWWi	CEU	CEU	nMIuFsW,yBVQoUy,99YsZl0
bzK4y71	ASW	ASW	jPlLYP4,VAAZkqs,gTUyNY5
ELlckCE	CEU	CEU	rAdFgMU,oGjwVue,3C3u5R2
KwYbjfe	ASW	ASW	W0rx6or,EQQ2ezC,Khfld6e
QAUIbRe	CHS	MXL	
vxa5csJ	ASW	ASW	ICIK2Vl,9o6TRxf,Hf9iZno
CZZJCUr	CEU	ASW	4bcFXbS,zjcVG7b,LmubxVm
r6wfpWN	ASW	ASW	FDZySp5,Z27cbN8,FOjfQMA
eJ6pdAg	CEU	CEU	RMzJzDe,gytrp4o,U1lEgtj
SvhOaGI	PUR	PUR	mlzMRxI,peiUlIA,w5QbZlU
ISGj6c5	CEU	CEU	k3ZzllF,tyrpvEo,WzZ13vR
umNKntT	CEU	CEU	1HWPmfe,Hyr5Qfw,6PxUk8l
lDPlOSv	CEU	CEU	tjRs38R,tdJWvCJ,Yr5Ms5V
wmv4yBp	CEU	CEU	COHU3zK,w1jP8R0,coFKESQ
bg6kX7K	CEU	CEU	qXtEE66,piXDpkF,UtaV1Ya
ldaqeML	CEU	CEU	0cUJDJj,O4sfdss,mhDBpe7
qXNz073	CEU	CEU	gDynxYO,EWvD7LP,HM0ITg4
gOB5EV3	CEU	CEU	1dU16dZ,Lvm5uov,94iayIU
ZPZoWCD	CEU	CEU	xMXf4d3,K08WLGz,JAmbZYW
CLlElGB	ASW	ASW	bvR5fTp,6zThFbo,EL0PiSx
G5glXh5	CEU	CEU	0ca2vsb,zk9dXd3,daZ2K0x
Nw37807	MXL	MXL	dMXQmaw,91Sso2e,kX9GyUk
wqMJZd3	CEU	CEU	B4LyDbd,qB9sMZl,SYEXjCw
tfLSN79	ASW	ASW	rYasKEM,pD7wg7z,vbcFJ5M
0lYKw8v	CEU	CEU	4DnUCSC,8wlZEgJ,P9ofDaA
XbKnJq6	ASW	ASW	CYcu9pp,CVvJ4n9,XFYjKm6
RsXcrOL	CEU	CEU	dO7zTlB,qz8vYjX,HeBLI22
6AYI0Sj	ACB	ACB	t6dtMHs,yG3K1uK,tIMHLSi
y9dwE5G	CEU	CEU	zc2Xp0O,fRWhau2,k5tt8nH
qUUGI4L	CEU	CEU	C0pbvoX,CKX9zR9,U9nXwrd
uRQSBDV	ASW	ASW	rM98MxZ,uJKqDNS,HHSrzYk
9jzFPSt	CEU	CEU	L6QmjBR,0Sui1iw,lSg2qNu
GSSBNDU	CEU	CEU	k6Tj5Gp,X1KbZ6W,M1T2yQY
OrXDR0T	CEU	CEU	5184PzM,WnhsohT,GLuEzYU
86dMiWH	CEU	CEU	YAFbviN,4p8XCeo,cYP3Njb
Um28bAE	CEU	CEU	uu00CJ0,Fi2RtPm,d1Gu2zQ
qNoJoiL	CEU	CEU	mE4YwWm,mxCAO5a,c2veC7I
P3RQsML	CEU	CEU	g9037oH,tiCdGHy,5xrcvxP
KqNAEtv	CEU	CEU	abqevKw,6xJNYWV,Ljkw7dM
81FmYuu	CEU	CEU	vxjfSyt,a76pAAn,piXDpkF
KJQyQnq	CEU	CEU	Rq8EXJb,jk4X2Vo,e9FKzft
xttZQX3	CEU	CEU	cVJ6MNN,9LKh1qW,R7SLqGX
VNH0ygO	CEU	CEU	2XWPhI4,Q0DPP8j,KYYl3KS
5HPebj5	CEU	CEU	PUAt8NM,pjIfzoW,379GgtF
