ID	MaternalHaploPop	PaternalHaploPop	HaploSeed
5AnJYfm	GIH	GIH	2217779812
zibXCpu	CEU	CEU	3139053222
XGQ6K4W	CHS	CHS	285843434
YAjNaj8	CEU	CEU	406679075
dRe0gwj	ASW	CEU	525536449
yANJ3IY	CEU	CEU	119440927
giS2dQA	CEU	CEU	140030538
kohRpbP	ASW	ASW	1280567344
oyvWHJe	CEU	CEU	1034549244
TCPfbeN	CEU	CEU	694622321
lUVxqjs	CEU	CEU	337503658
7F5aMQK	ASW	CEU	750057421
yazzv51	ASW	ASW	2613278322
E51kbs3	CEU	CEU	3641954452
oRer8Ay	CEU	CEU	1660888826
LX5Cj5e	CEU	CEU	778734852
rPpVvdG	CEU	CEU	1736822170
I9BAfK3	CEU	CEU	3590590434
gxkRFDj	CEU	CEU	1697508102
4sIerV3	ESN	ESN	586803621
2APTx9Q	ASW	ASW	3591604202
4IdvUC5	GBR	GBR	2648665658
tv4gSIP	ASW	ASW	1182852
1P5ViYv	MXL	MXL	3528804340
lNNQIoo	CEU	CEU	728718132
MZOYVU3	ESN	ESN	1495644262
QQwT9ag	CEU	CEU	907966743
VMI1j8I	CEU	CEU	3207756049
nFWu4XE	CEU	CEU	238195693
SR2kkTO	CEU	CEU	35914676
KH3LPsV	CEU	CEU	1267016967
UrjRiok	CEU	CEU	1538996303
pO0hTVn	CHS	CEU	3288259560
SrcfvAI	MXL	MXL	2996547491
Im3rDnb	ASW	ASW	4039166960
3hqqQDs	GIH	GIH	88057139
SA8ULzg	CEU	CEU	3692746374
r9aCKwW	ASW	ASW	2258816514
R0VZpEM	CEU	ASW	3115397663
Dh0VOWv	CEU	CEU	3430640735
AKdX7va	CEU	CEU	1473785704
KU2xLcK	ASW	ASW	2595304415
ktULuNn	CEU	ASW	4172573427
jB8aO7C	CEU	CEU	3692953151
s5Us9VO	CEU	CEU	2009245477
W7aNfe6	CEU	CEU	19950959
nkueYFL	CEU	CEU	2670392370
6IPkySB	CEU	CEU	601615426
LsEyb7p	CEU	CEU	1092682022
ZmEMild	CEU	CEU	1409102609
8r67uwl	CEU	CEU	2225995652
HZqU8Pt	CEU	CEU	3042746270
yUG3FNH	PUR	PUR	562699964
