ID	Contributors	SeqSeeds	Proportions
1HKvgWO	IJr2daQ	2394884903	1.000
OOPwUHu	7jsfu2j	2345347529	1.000
IUgw6BW	cK591gF	3643506939	1.000
vYaaSwg	ycf6pVl	2271651368	1.000
cxU6tn7	tDrotyg	2408980273	1.000
HXOWSYY	fSXGOmJ	3444949809	1.000
PbPkMAf	idO8h7M	2175151758	1.000
2J1gEO1	vrhp9Hv	2420996247	1.000
gJZELe7	ADaWUph	3653407232	1.000
XEcQyM2	CdO9FC4	3545731939	1.000
fuyLkc1	q8F4eOU	2978559575	1.000
vgVXQCm	H5689Gp	3436543641	1.000
Hdu282W	809QD7r	2590042717	1.000
KxXVXd4	K4jPgiR	1680275824	1.000
aREndGA	AdL3WDV	202836971	1.000
Gor5b4w	dHmp8qe	107198382	1.000
TDuTR0i	4bbkCGv	3256786062	1.000
KTyZhsp	mdBh4Ho	3251941818	1.000
Fdc1rh9	FibtG6N	364482109	1.000
gRXD8oy	bNr6xk5	895613536	1.000
126vLNb	zD384zq	2168194137	1.000
Acy1cBx	NC6W2w4	3489835745	1.000
ygD3tZe	3uPRaE4	3624196083	1.000
f55V19p	ZuqQNbx	1517429242	1.000
MFYnP1n	MH5v7AJ	275317157	1.000
5GXZXLB	r5t7qs3	1794145924	1.000
acqjyRa	v2TWsuK	863254940	1.000
NM9P7t4	0hIRiZH	3259390359	1.000
Iuc3ZaU	nPeCN2x	4148288158	1.000
S4AgOD4	8gXF9kU	897161189	1.000
GUk5LKc	34ue3dR	1983938467	1.000
nXPwJfL	3K0das0	4081940847	1.000
skPmhT1	GE6xSnS	188106784	1.000
YVaejQB	pKEEfaH	3138614531	1.000
L1X7A21	uSwiwK5	1827869219	1.000
2wiGelm	LQo6YxJ	2760322011	1.000
z2qtYDT	1tspoGh	2514510186	1.000
vcQMq4b	SL084do	3108082936	1.000
Dc01pO5	T3LnL3o	2182765991	1.000
XlUga8E	RRz5iaQ	198382180	1.000
729PeUX	Lj5aqlj	1355894791	1.000
I1IE4EG	tEsMmyY	4254367990	1.000
CnBKWko	p1SfgH0	2458675687	1.000
xeuSkR3	MlKrGH0	2741574873	1.000
wh9RoDp	Nie6HHV	551354036	1.000
eHlUdWq	n42bIrj	2149456211	1.000
RvQmP83	USzcR1G	2262033934	1.000
JKNbkPe	1TMoPrH	322904360	1.000
fKiXvlX	mHfCdip	3986128662	1.000
t8zlEu7	bbdrvZA	3603679475	1.000
4MZpEpv	vabwR7c	3439511706	1.000
kcE2Ljz	2TDFbR2	878340507	1.000
Wzot9RH	bENZ6xw	1938496112	1.000
axbQf7Z	kmbV6Bc	778589410	1.000
RLZHEXE	JDbdRCm	4132374288	1.000
UdbKngz	87GqMvG	2037650817	1.000
Jiyoua6	YlNAsFz	4033544052	1.000
pgZRkld	296NBMK	3225910476	1.000
3S2feaz	BhYJqXN	4142482850	1.000
kaZydwT	mqjo7zv	1373728093	1.000
ZHHyR8X	B90zVMf	4087282771	1.000
dtQS1jy	wRRTzz1	3022379208	1.000
URwwNaE	TT0Mlb2	3329780933	1.000
mIgN5sX	qjqv2Bh	3214332498	1.000
2920pvK	zSewmvW	2037688120	1.000
HErtB7o	XML9bmb	190256922	1.000
39bZ1eA	SsjgbjW	3903972296	1.000
aC6dmEI	NoWF8YF	3146388725	1.000
NKa09pG	WdQfuqm	1778092416	1.000
jQghKU8	4F8adFS	2364316861	1.000
XVCAMFg	gkuhckg	2156794239	1.000
dhqxT1v	r3WQI7x	3388517451	1.000
o3jUb76	7Z1Ocws	1152796440	1.000
YShZplT	ygQqM09	3438197432	1.000
eT6JVCA	5x05pLS	187531768	1.000
cxj4ZGX	YBBVVfD	3539379400	1.000
Fy9k5DH	uBccj2w	122619122	1.000
5mkgMwB	cViLakm	311976797	1.000
VfNHjDl	X4GKORw	819838298	1.000
O8Mtt9T	YP5cvWq	3139085905	1.000
o3Odcp4	YmxIy3Q	753004224	1.000
OTd6yeL	JiFG2l8	4018800647	1.000
vKdI3sV	BdzkiPx	1419635994	1.000
o2jaCHi	MEhla05	3652794123	1.000
hZHkpBT	yyIWiGM	472591059	1.000
kpAS1vD	xhXUPJG	2114575228	1.000
lNYTLAC	AA6yfkm	1891096874	1.000
TB2AHGO	rBHWwku	3483271484	1.000
kYH48U9	skFgfoT	26479148	1.000
FAaBVmc	nLWWXpx	1408822571	1.000
VNjixZE	IflV2hV	1999092577	1.000
uRUl76F	Z4T323h	3614022827	1.000
SAR503U	Spet7B7	4079602385	1.000
CbTCkcQ	wi4kl8e	2128162008	1.000
NqDRYv8	C05uCKC	2147588096	1.000
lNbHhpH	tD6CH3T	3095410339	1.000
gA4uYly	t2FiCty	2459032591	1.000
J2ZiADR	oTmwepL	3729683010	1.000
BUY2x0b	i9tw7A8	2281707746	1.000
yHh8Ik2	jIQUfws	3644268809	1.000
lcHZQ3G	5OeG5go	1416491213	1.000
8c4HMde	MmwsIeS	147371663	1.000
Ljpc0AW	OU2lRxP	3831629004	1.000
zx63QJ2	SxZlVIe	1048930887	1.000
u9AYxXH	OteWYcy	936518809	1.000
MijdOd3	i6eSDDU	4100173412	1.000
xAAo5b5	H7av6qp	1254088956	1.000
S5xZenk	CwNvMc6	4238452926	1.000
CKFoFDL	V9Bk5ha	2001324457	1.000
PaEtU19	RaMcAKR	3788716500	1.000
5up4dsK	hrbqZvT	2999181906	1.000
sb9e409	IVVGvFZ	1492247308	1.000
L9M7wVp	XIMDqbn	3576508101	1.000
4EoQsIK	hQtj2oN	2963353268	1.000
aFujEW2	xERMswq	3319871255	1.000
Szhxu1h	y3h5GpQ	1370079511	1.000
nJMjbBH	dpNOx9H	1291013709	1.000
kaj6y71	0ebLJkt	276296418	1.000
3UQxhUI	emhyMoj	2738180625	1.000
PUhg6Ma	TaJ8jxG	3515808409	1.000
oQWFaww	fZ6KJYE	655974947	1.000
cFqaymM	n0YhXIG	1586166242	1.000
fUw3jSu	uhvkxUc	1620026702	1.000
lga6pCt	aIxcO2X	2847243881	1.000
TSdNGkq	2fkdsIP	4174524436	1.000
GnBgyK8	ZjisWmS	1904060951	1.000
CHRhRQk	5weZvbF	795351327	1.000
5QShC6a	YlH7SOz	2330578385	1.000
120VigO	ilBy7tb	1209720301	1.000
Q3o3HyV	CluQJpJ	2053413516	1.000
gbizVhw	qJ1s9Md	2790739147	1.000
rtpSa6c	1i9mTyq	2609596297	1.000
mwzvJYf	OItjvQ6	3947232966	1.000
kH4FGUc	Nsw3Oaf	336932307	1.000
ykrbk8q	M8b2Bc6	993408010	1.000
DjbygSJ	ZQ0x1Y1	2128317181	1.000
KYjn77r	FCnNs7h	120755300	1.000
71Le0J5	6L14jgx	1087578085	1.000
XU3O2oQ	ASi30Rl	2394503683	1.000
9acqAQ9	xFpNjbG	1029801287	1.000
ooBlxQR	rJtI8hZ	3138907669	1.000
3ipAHHx	z1QNgUn	3563084212	1.000
Cosbuzy	GdTqvkB	1930457727	1.000
IVj2TAv	BBDqsNo	429528403	1.000
JDFWPvZ	THPoQnf	1667439641	1.000
lYlJQF6	wyVrAF4	1489804159	1.000
HLG1Fm2	St0w9uv	3637365758	1.000
6vnjZj6	pDihm6U	1776715505	1.000
iep4kKP	7Kp2N2E	610943566	1.000
Jh3DnjS	qhmgw10	955169788	1.000
YYtk3zG	walLe8t	2939028327	1.000
b4bsOPf	ola1ync	464685716	1.000
3bl7V5b	6j0RYHz	3228396144	1.000
iCCQhSc	cwUjOFP	4189764751	1.000
nxwedwk	oXTPZds	4287048098	1.000
jzUFZWE	nAE9oGR	3701058902	1.000
i3YupXj	OIVNZbX	2511029707	1.000
Yb3gFJj	4Yw7V0Q	2440834977	1.000
H0dywLA	ZsfjJ6P	619010425	1.000
YeRmGvW	FbdWcAW	2204614348	1.000
JYij9LX	yXgB9VO	3800572549	1.000
lAqzFJA	rTf82hK	3640747006	1.000
Wbnji5R	GkFmavp	2524253579	1.000
GWRthju	rV41Gdv	1121560365	1.000
NXp3YvA	zNK67zQ	3780267361	1.000
6KwpUTc	yQVTq0l	1175299060	1.000
dI8bFqH	qZCCSyx	3780218457	1.000
irpNrqr	azlUSQy	2930231607	1.000
VuPq6PC	rxaAi6n	3975868612	1.000
k4fgyAL	TsStoPY	3202786955	1.000
Pp1IjHZ	x66PEbl	1329270093	1.000
e7z1cku	mAKfIh3	65551693	1.000
vtVDKOc	rd8v6yv	3959876765	1.000
GBHNqri	Hd6LuaN	807738942	1.000
2AgQTuZ	rrxkr4c	2910070190	1.000
AEHHFJ9	Vv1DWwD	2992298971	1.000
QJRDMx5	R0lUgtQ	657954178	1.000
UdXYdBM	wacYHhZ	2379622828	1.000
68o4xty	oZMUaYR	2217077776	1.000
xKIVJ25	EdCrl3Z	2254924121	1.000
YQEkIIi	vNKJevx	4225701628	1.000
l02yuao	Wdgvz6K	4137647681	1.000
mjgvemu	EGkIb7x	3490403654	1.000
Fl3xiH2	rGfACaY	1785291249	1.000
idORNYk	p6wOUtS	404817946	1.000
8rODx6N	uNUTAdS	1077085294	1.000
sunAba1	d7d7tJ1	797305424	1.000
PXSjY17	gytrp4o	541989405	1.000
6tp6hyJ	uCdyxUP	4019067090	1.000
0McCtRe	dYXNuYJ	2816286230	1.000
InO3Opp	HoLevPN	1938579991	1.000
7vP77US	wYBFrdb	3949297808	1.000
shAwpYE	sh16zAW	1975144776	1.000
7hPlOIB	oxZeiuT	581735258	1.000
EqWWxZx	DQwya7a	3867387820	1.000
s6nbVVe	h9c6SiG	1033853097	1.000
NnmB2rE	MSi8TUQ	3803825581	1.000
HkKBmpN	euiT39J	3407422858	1.000
Tgo25uy	wQGCRSO	999599130	1.000
U1k28W6	D5zla9E	614560068	1.000
k7PxDJI	3wKdrbW	1221400027	1.000
KUNPDz9	KAlLMZz	2294162846	1.000
E8MInIY	5eZ11gX	1577519763	1.000
eRlAUA4	mqRKM3S	846811157	1.000
tNaWyDp	uoWvofR	2904206718	1.000
9JxKqKJ	Fmet5Jp	2967597541	1.000
tSNCuK1	PBotOTU	2508787117	1.000
GfquS01	qFP7ufS	3865498403	1.000
PesWiYK	nX5lhtO	143774300	1.000
eGlkwGZ	gxKBbiN	2163096578	1.000
GCA0Ybi	WFl7Kdf	1235666460	1.000
wMmWXfq	CzpdlNE	1728837291	1.000
YlWa12A	ncZJqBU	1017622318	1.000
j5fGxdH	vyeZ9Rf	304510408	1.000
uegRLcF	4FSE5OH	480367634	1.000
v3Jgji9	3ZZDV54	2441967341	1.000
RG7PoFZ	JkpWF3X	1410836373	1.000
JZLtm7G	Db3Ruac	371602614	1.000
gloIcb9	7bJks55	2269930279	1.000
COtaDUP	kFtHSvf	811947568	1.000
g7cQcep	zm8vEVk	517059725	1.000
9Vb4Q9v	DEfrEIk	4146651563	1.000
V3JA5Uf	3UPFHbs	2669661700	1.000
hI6IHAo	miNM1ZV	1637807119	1.000
Jbz8BYG	G5otxv8	2724958076	1.000
n5C9UYe	hj50rPS	3707046207	1.000
1Q16IQW	xDdCaup	3528089600	1.000
O1p5pCx	asr3wk9	4051299746	1.000
DOi6lDQ	rX7VVeI	1409763361	1.000
H4OEUoN	VDIIMxm	4220502757	1.000
dkNXA2y	NUsZpc7	176571681	1.000
yT0C80e	Vc1lYQv	2207435597	1.000
RflDUcC	1hz4OWc	4074702243	1.000
2kxCPPV	ODuvibJ	2911268881	1.000
xLoY4ig	QsGxmhG	1509029562	1.000
RvcukZq	3hzPArq	782814987	1.000
Ixyg5bM	PG3FhYJ	1920765443	1.000
whpaHPk	AtRzZHW	1636106569	1.000
qzXRDMU	IeQIus4	4274095514	1.000
JURrRly	i0iWNav	3465767786	1.000
adpQxiT	NViu41C	3773344562	1.000
kzQZIX2	u2Rbq1Q	3887412241	1.000
LYLuL3m	agPoNTR	574006394	1.000
Y1oofyT	QkXug32	954571026	1.000
cWA4IQs	8BoMFV1	496204996	1.000
Opp5ZbP	Kh6b1W1	3640149944	1.000
jSlvyBO	TUEFJ3q	1515998873	1.000
Vwh9hKc	LYSttKh	3932082047	1.000
aCHsHlK	AzLjNUs	3079558349	1.000
ZqpURgd	lJmejv4	1856020440	1.000
kCn9D7V	4RpzTl0	541155948	1.000
vXkD3mJ	lfuimvt	3486237227	1.000
D9Ig9hQ	8QGzGwh	741722277	1.000
Upd58IC	BN9zUwG	3793148542	1.000
zyVJqDr	gD5EPka	2260292977	1.000
8nB0OiL	32mR5nc	2769581525	1.000
liRpv71	JbFt1W3	1232366140	1.000
ol6qTif	fZvCoLU	434846826	1.000
bXQSiaU	VbNe8l2	1632690349	1.000
acm1Ydl	SMRqlhH	1327595297	1.000
v58ScEK	FctK3U1	761147783	1.000
gLQcOPI	UywwfzL	214437702	1.000
RvN8Lfp	fzp23aD	4172411385	1.000
2WCzU4C	dMNASAL	1626026217	1.000
torwfET	G5bYvD1	4052785345	1.000
1ueXBXW	Y4fAKr1	4290264218	1.000
j8QXQAC	k3161rQ	2785415312	1.000
geY09tV	8qdms5U	3396568149	1.000
x4QWeVN	mliSGMX	753500238	1.000
TP5PoSE	UkXv0DH	3840983761	1.000
kNPOBER	0iCxEo0	2511695010	1.000
QeOvkX9	HZ2vjNP	1850708717	1.000
NsC0BsJ	2Vww0Rd	1015010235	1.000
f6aLLmi	JMBZPTU	3068181707	1.000
WM2kv9z	joFS9e9	4123889154	1.000
OSMR00e	KLbfQbR	2442314777	1.000
ETbKHkd	sGUUsME	1804554549	1.000
ZVGmU2O	pJQyBap	3790118685	1.000
SxTkIGS	dCFP92w	3093215994	1.000
ouLNA7V	lrZKHl3	1142884002	1.000
aIlMM02	kwxaNf0	4211508692	1.000
hUrfH08	RmIaLtm	1912359471	1.000
FUuYOPS	jmek3GG	3766698747	1.000
2ETlK1P	38Yr3rY	3110528037	1.000
EC91kys	ZyfK8b0	3627105589	1.000
a4RS78D	27d97b8	539295969	1.000
ll7tGld	L3ZEdL4	1031210797	1.000
yKqiP7v	0AJ0Jyw	2418081533	1.000
u67H6HN	FqY0NcO	1235485582	1.000
wDAlMY0	HSTsfX2	91443129	1.000
wpoH0DL	btxCX2Q	557138857	1.000
ahYpQNw	7i0wIKD	2936095772	1.000
2Xoppa1	CzF1Ead	2023440195	1.000
zPqUxO8	klv8efx	3480443163	1.000
n3fxKXd	gXW1ZYJ	3848149984	1.000
FAD71tl	S4PG3mn	3258073104	1.000
FkMlbJF	lsODgGG	90793697	1.000
wFohtxN	Q7rNxob	2253104016	1.000
oyRnzty	JiA4580	3342691987	1.000
PQxNTq9	jxNrHvj	196935858	1.000
95xJe7U	wJbnuDA	1366033550	1.000
rsVa0sQ	2BlinJy	1434734564	1.000
97QfYsd	r41yWG9	931937938	1.000
1oEq1Qa	pu6TWH4	839579554	1.000
ovn2Bpy	vOmFZjl	797399176	1.000
tYUkNVE	3cXt0i6	1871904306	1.000
hbExpXA	YkYWlLw	2787208264	1.000
VSwwIo2	WAi5Cub	2498873022	1.000
YDQZf4R	MrEKbK9	848819396	1.000
lALIaIs	14Kf1cr	1574255535	1.000
tMTWnFh	eCKGAKH	418184980	1.000
4pwbZsO	dtMjDqH	48135682	1.000
VJ8knQF	vmXEMWR	331820586	1.000
rBtA6xu	O8nLOLM	2972937439	1.000
cv8BIfm	ucWPIBV	857435224	1.000
nnCuey6	lXSHn8n	3005291224	1.000
z7o0P4r	WC5qOz3	1117809772	1.000
BnDabeo	blAAIuI	3509102734	1.000
dYpRkcs	bQOZZNM	697043914	1.000
lQsoYrq	x5Zlkj7	2540629238	1.000
ZVwWA60	FhFgTHt	1637989340	1.000
DhELF0X	kX9GyUk	805046523	1.000
yuHs0ZU	g0j9j8b	1549528943	1.000
B7iZ2QK	U0sAgP8	2022832718	1.000
dyapC3o	8eEE0jb	3940022300	1.000
YPaR5ch	NBABmTw	143711759	1.000
uzj383N	TGyJ49w	1559861744	1.000
c0GQn59	umfDGjh	1675938623	1.000
tD2bCUN	8yumamj	3578918822	1.000
mx8OH1T	Wt56utT	1317420185	1.000
dgDKThQ	IlPOzdq	275502900	1.000
wNj8jhH	nQJJdnL	574248307	1.000
Lk9W9d6	t8B6Jph	188915340	1.000
zAUoGW3	b5xtEOg	914293319	1.000
rKlGC6x	BeVvW2c	2524462684	1.000
7cUrtAD	HANXWLZ	3080261443	1.000
uM3vhTH	PWhmVSH	366236556	1.000
iZfLN8U	TYoW6sM	3007910671	1.000
4F2SVgM	Vs5cwpb	1931362378	1.000
t2BtFmn	7Kek4iO	101873851	1.000
c3RwlOj	npylejQ	1222492567	1.000
93MSVKB	T0vHeMZ	4062504314	1.000
TtuCjP9	aRSczTK	2194551653	1.000
zoc1Nr2	1XDtjj0	4198312635	1.000
eJJzgOI	9umUIDd	2141948143	1.000
WphSQjm	3kNw6i0	3200013770	1.000
z6Xy3vC	w0zMBxO	700118442	1.000
DlSSG0h	goHiZaH	3802363190	1.000
AFsjslh	khKkVJ0	1774977448	1.000
YxZwlWA	8pshkep	3785723726	1.000
2NOEIWG	e3gGdT0	4040364203	1.000
oKNkmux	8UColRe	2368477213	1.000
UNLncbV	A6Lglb3	562475995	1.000
TMrqNL9	78cIx5V	3130220832	1.000
dJ1x8l1	sKCGkZx	4143247650	1.000
xOp8dRy	P52oPpA	2532867513	1.000
ZnAFwsT	0LmVhwf	2376368830	1.000
GVmw0pT	ygU3NXI	3336478531	1.000
